Fluxo acumulado no ano - Juros nominais - Total - Setor público consolidado - R$ (milhões);
2001;86.808,30
2002;113.269,54
2003;144.594,80
2004;128.524,26
2005;158.093,97
2006;161.925,20
2007;162.538,51
2008;165.510,81
2009;171.010,94
2010;195.369,26
2011;236.673,29
2012;213.862,80
2013;248.855,68
2014;311.380,42
2015;501.785,90
2016;407.024,29
2017;400.825,78
2018;379.183,90
2019;367.281,71
2020;312.426,74
2021;448.391,19
2022;586.426,69
2023;718.293,72
2024;950.422,85
2025;1.007.553,10
jul/26;668.616,65
Fonte;BCB-DSTAT
